Name:,Kate Elder
Email:,elder7@llnl.gov
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
HEA_H_1,Mo58 Ta40 Zr2,BCC,AC,None,hardness,EXP,None,298,4796113350.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_2,Mo54 Nb40 Zr6,BCC,AC,None,hardness,EXP,None,298,4893202650.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_3,Cr37 Mo63,BCC,AC,None,hardness,EXP,None,298,5290288080.000001,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_4,Cr44 Mo50 W6,BCC,AC,None,hardness,EXP,None,298,5855073210.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_5,Cr42 Mo46 Ti12,BCC,AC,None,hardness,EXP,None,298,5749059540.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_6,Cr28 Mo50 Nb22,BCC,AC,None,hardness,EXP,None,298,6282952620.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_7,Mo36 Nb36 Zr18,BCC,AC,None,hardness,EXP,None,298,4962930420.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_8,Mo58 Ta32 Zr10,BCC,AC,None,hardness,EXP,None,298,5776028790.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_9,Cr38 Mo46Nb16,BCC,AC,None,hardness,EXP,None,298,6787424700.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_10,Cr42 Mo36 Nb22,BCC,AC,None,hardness,EXP,None,298,7382317320.0,None,Pa,F5,10.1038/s41524-023-01031-6
HEA_H_11,Mo50 Nb10 V40,BCC,AC,None,hardness,EXP,None,298,4493959680.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_12,Mo60 Nb40,BCC,AC,None,hardness,EXP,None,298,4298898450.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_13,Nb30 W70,BCC,AC,None,hardness,EXP,None,298,4844167650.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_14,Mo30 Nb20 V50,BCC,AC,None,hardness,EXP,None,298,4279480590.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_15,Nb10 V40 W50,BCC,AC,None,hardness,EXP,None,298,5911365390.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_16,Mo47 Nb30 V23,BCC,AC,None,hardness,EXP,None,298,4724424180.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_17,Nb20 V50 W30,BCC,AC,None,hardness,EXP,None,298,6008650830.000001,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_18,Mo20 Nb20 Ta20 V20 W20,BCC,AC,None,hardness,EXP,None,298,5907050310.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_19,Cr20 Mo50 Nb10 V20,BCC,AC,None,hardness,EXP,None,298,5995117169.999999,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_20,Cr20 Mo30 Nb20 V30,BCC,AC,None,hardness,EXP,None,298,5559490230.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_21,Cr20 Nb20 V30 W30,BCC,AC,None,hardness,EXP,None,298,5617547669.999999,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_22,Cr20 Nb10 V20 W50,BCC,AC,None,hardness,EXP,None,298,4141692240.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_23,Cr25 Mo45 Nb30,BCC,AC,None,hardness,EXP,None,298,6415445190.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_24,Cr22.5 Nb22.5 W55,BCC,AC,None,hardness,EXP,None,298,4998725970.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_25,Cr50 Mo30 Nb20,BCC,AC,None,hardness,EXP,None,298,7557274200.0,None,Pa,SF7,10.1038/s41524-023-01031-6
HEA_H_26,Cr45 Nb15 W40,BCC,AC,None,hardness,EXP,None,298,8959871340.0,None,Pa,SF7,10.1038/s41524-023-01031-6
